,text,emotion,X,y,NaiveBayes,SVM
674,RT p Rules for SelfDrivingCars are stuck in park ,negative,"  (0, 3078)	0.0893334319013
  (0, 2959)	0.243986679414
  (0, 2964)	0.474172707998
  (0, 3344)	0.59860016453
  (0, 2461)	0.591039866869",negative,positive,negative
676,Rules for SelfDrivingCars are stuck in park ,negative,"  (0, 3078)	0.0921173486987
  (0, 2964)	0.48894945326
  (0, 3344)	0.617254469166
  (0, 2461)	0.609458568337",negative,positive,negative
678,RT  Im talking SelfDrivingCars with  Prof Alain Kornhauser at VE am ET Stream live ,neutral,"  (0, 3078)	0.0488841619569
  (0, 2959)	0.133511990953
  (0, 2038)	0.284446611336
  (0, 1705)	0.266314230396
  (0, 3403)	0.29535526577
  (0, 2643)	0.332133415058
  (0, 83)	0.36733297586
  (0, 1929)	0.36733297586
  (0, 3740)	0.349733195459
  (0, 1175)	0.332133415058
  (0, 3334)	0.357647117761",neutral,positive,positive
680,How the transport will soon get automated ,positive,"  (0, 3574)	0.615486019072
  (0, 227)	0.581799145965
  (0, 3237)	0.531682907457",positive,positive,positive
682,RT u In the future this type of tech will enable your car to pick up and pay for your coffee selfdrivingcars ,positive,"  (0, 3078)	0.0603443636134
  (0, 2959)	0.164811992398
  (0, 1396)	0.199554669941
  (0, 492)	0.184611026453
  (0, 3427)	0.199087717819
  (0, 1124)	0.386322938653
  (0, 3620)	0.423463439843
  (0, 2520)	0.453449006286
  (0, 2481)	0.340378682874
  (0, 618)	0.453449006286",positive,positive,positive
684,Spot on selfdrivingcars ,positive,"  (0, 3078)	0.138429859146
  (0, 3265)	0.990372240169",positive,positive,positive
686,RT vs  ai rocking at websummit with retrofitted self driving kit openpilot SelfDrivingCars ,positive,"  (0, 3078)	0.0537742113546
  (0, 2959)	0.146867650635
  (0, 70)	0.16219641607
  (0, 3062)	0.23712559144
  (0, 1024)	0.202428202683
  (0, 2404)	0.384718199463
  (0, 3822)	0.351621468614
  (0, 3785)	0.31470281938
  (0, 2940)	0.404078545907
  (0, 2867)	0.404078545907
  (0, 1919)	0.393423778397",positive,positive,positive
688,Intelligent road Aurora is now open  testers from all over the world are welcome ,positive,"  (0, 3890)	0.286915202835
  (0, 2398)	0.341666895177
  (0, 2914)	0.241220235131
  (0, 1797)	0.389882327069
  (0, 212)	0.468369373126
  (0, 3473)	0.468369373126
  (0, 3832)	0.389882327069",positive,positive,positive
690, ai rocking at websummit with retrofitted self driving kit openpilot SelfDrivingCars ,positive,"  (0, 3078)	0.0573433139081
  (0, 70)	0.172961718399
  (0, 3062)	0.252864093829
  (0, 1024)	0.2158637696
  (0, 2404)	0.410252720073
  (0, 3822)	0.374959292636
  (0, 2940)	0.430898051645
  (0, 2867)	0.430898051645
  (0, 1919)	0.419536105788",positive,positive,positive
692, ai rocking at websummit with retrofitted self driving kit openpilot SelfDrivingCars ,positive,"  (0, 3078)	0.0573433139081
  (0, 70)	0.172961718399
  (0, 3062)	0.252864093829
  (0, 1024)	0.2158637696
  (0, 2404)	0.410252720073
  (0, 3822)	0.374959292636
  (0, 2940)	0.430898051645
  (0, 2867)	0.430898051645
  (0, 1919)	0.419536105788",positive,positive,positive
694,Pertinent article about selfdrivingcars warning we have  years to get our vehicles off the road  future,positive,"  (0, 3078)	0.101145816262
  (0, 1396)	0.334482274257
  (0, 3745)	0.424894900311
  (0, 3924)	0.465719288133
  (0, 2914)	0.404746476504
  (0, 176)	0.562708885809",positive,positive,positive
696,The future automotive industry is picking up speed News   selfdrivingcars AutonomousVehicles ,positive,"  (0, 3078)	0.0736679909877
  (0, 264)	0.262385459339
  (0, 1396)	0.243614991467
  (0, 239)	0.331084778479
  (0, 2312)	0.345681279238
  (0, 1749)	0.337976731385
  (0, 2521)	0.572385642587
  (0, 3258)	0.442054704318",positive,positive,positive
698,RT aris How to Design Streets for Humansnd SelfDrivingCars fintech insurtech IoT  https,positive,"  (0, 3078)	0.0638609835913
  (0, 2959)	0.174416553791
  (0, 1314)	0.292983780443
  (0, 3337)	0.333348613462
  (0, 167)	0.317573099682
  (0, 1838)	0.231746931163
  (0, 1648)	0.369531345994
  (0, 883)	0.360214544992
  (0, 1663)	0.479874139289
  (0, 1791)	0.34262721643",positive,positive,positive
700,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
702,[Infographic]ar Tech Forecast The Next  Years,positive,"  (0, 3427)	0.248891620411
  (0, 3924)	0.347359211263
  (0, 1758)	0.499120348691
  (0, 160)	0.474020898599
  (0, 1354)	0.586154932466",positive,positive,positive
704,RT else Ah curious about toningt Group  Ill be watchingautonoms SelfDrivingCars selfdriving ,positive,"  (0, 3078)	0.0557146073681
  (0, 2959)	0.152167243072
  (0, 779)	0.368614005089
  (0, 3071)	0.137779777859
  (0, 68)	0.407620135945
  (0, 3535)	0.418659371546
  (0, 1516)	0.378541475869
  (0, 1703)	0.398600423707
  (0, 3812)	0.418659371546",positive,positive,positive
706,RT else Fun Why these German researchers became selfdriving cars  ia  SelfDrivingCars drive,neutral,"  (0, 2853)	0.414304493262
  (0, 3078)	0.0719861373942
  (0, 2959)	0.196607902023
  (0, 509)	0.173226945254
  (0, 3071)	0.178018557208
  (0, 1679)	0.496623701896
  (0, 1387)	0.438054709572
  (0, 1442)	0.434936058852
  (0, 1010)	0.308416162552",neutral,neutral,neutral
708,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
710,RT else Ah curious about toningt Group  Ill be watchingautonoms SelfDrivingCars selfdriving ,positive,"  (0, 3078)	0.0557146073681
  (0, 2959)	0.152167243072
  (0, 779)	0.368614005089
  (0, 3071)	0.137779777859
  (0, 68)	0.407620135945
  (0, 3535)	0.418659371546
  (0, 1516)	0.378541475869
  (0, 1703)	0.398600423707
  (0, 3812)	0.418659371546",positive,positive,positive
712,RT  This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general httpst,neutral,"  (0, 3078)	0.060871235859
  (0, 2959)	0.166250981217
  (0, 492)	0.186222882478
  (0, 3427)	0.200825971181
  (0, 1438)	0.367780469689
  (0, 2504)	0.36286342234
  (0, 2355)	0.407882368614
  (0, 97)	0.382478554979
  (0, 3902)	0.402730829574
  (0, 1649)	0.389695960126",neutral,neutral,neutral
714,This is the only person at the NYT who should be allowed to write about SelfDrivingCars or car tech in general ,neutral,"  (0, 3078)	0.0672006452693
  (0, 492)	0.205586393801
  (0, 3427)	0.221707916059
  (0, 1438)	0.406022393529
  (0, 2504)	0.400594070117
  (0, 2355)	0.450294099964
  (0, 97)	0.422248790148
  (0, 3902)	0.444606902345",neutral,neutral,neutral
716,Cool Renault shows off selfdriving car that can avoid obstacles as well as pro test drivers ,positive,"  (0, 3071)	0.140601617022
  (0, 3469)	0.226320944163
  (0, 492)	0.173938145312
  (0, 1020)	0.242604818877
  (0, 279)	0.360505444061
  (0, 2630)	0.39224054297
  (0, 716)	0.345981910402
  (0, 2835)	0.398981830874
  (0, 3152)	0.343518755206
  (0, 2363)	0.398981830874",positive,positive,positive
718,RT Lives Global roadsafety leaders at Innov this week Selfdrivingcars  priorities  safe roads cars  humans can read h,positive,"  (0, 3078)	0.051043106249
  (0, 2959)	0.139408480516
  (0, 509)	0.122829779341
  (0, 1661)	0.220513552864
  (0, 2919)	0.205798802243
  (0, 2975)	0.263944944542
  (0, 2041)	0.257190142241
  (0, 1766)	0.342026620364
  (0, 2920)	0.330135374346
  (0, 1976)	0.346801919374
  (0, 2759)	0.281519804959
  (0, 3826)	0.286560931247
  (0, 1454)	0.308399481721
  (0, 2625)	0.365178985176",positive,neutral,neutral
720,I a boomer perfect Timinggive it a read fascinating SelfDrivingCars  ,neutral,"  (0, 3078)	0.0739418098502
  (0, 2759)	0.407813814971
  (0, 395)	0.574513160705
  (0, 2496)	0.45332321655
  (0, 1267)	0.54097429753",neutral,neutral,neutral
722,RT  Im talking SelfDrivingCars with  Prof Alain Kornhauser at VE am ET Stream live ,positive,"  (0, 3078)	0.0488841619569
  (0, 2959)	0.133511990953
  (0, 2038)	0.284446611336
  (0, 1705)	0.266314230396
  (0, 3403)	0.29535526577
  (0, 2643)	0.332133415058
  (0, 83)	0.36733297586
  (0, 1929)	0.36733297586
  (0, 3740)	0.349733195459
  (0, 1175)	0.332133415058
  (0, 3334)	0.357647117761",positive,positive,positive
724,In the future this type of tech will enable your car to pick up and pay for your coffee selfdrivingcars ,positive,"  (0, 3078)	0.0611810139313
  (0, 1396)	0.202321415135
  (0, 492)	0.187170584044
  (0, 3427)	0.20184798891
  (0, 1124)	0.391679150734
  (0, 3620)	0.429334590027
  (0, 2520)	0.459735894282
  (0, 2481)	0.345097896338
  (0, 618)	0.459735894282",positive,positive,positive
726,Im talking SelfDrivingCars with  Prof Alain Kornhauser at VE am ET Stream live ,positive,"  (0, 3078)	0.0493257657812
  (0, 2038)	0.287016210698
  (0, 1705)	0.26872002765
  (0, 3403)	0.298023410413
  (0, 2643)	0.335133801694
  (0, 83)	0.370651344027
  (0, 1929)	0.370651344027
  (0, 3740)	0.352892572861
  (0, 1175)	0.335133801694
  (0, 3334)	0.360877986996",positive,positive,positive
728,Hotz wants to win selfdrivingcars with ai  interesting  inspiring concept  presentation at ,positive,"  (0, 3078)	0.06188406852
  (0, 70)	0.186657765365
  (0, 1801)	0.313531652422
  (0, 668)	0.388842591574
  (0, 3801)	0.334518802171
  (0, 3859)	0.404650603117
  (0, 1783)	0.480826908007
  (0, 2612)	0.45275725011",positive,positive,positive
730,Interesting positioning from GeorgeHotz commaai AutonomousVehicles SelfDrivingCars connectedcars websummit ,positive,"  (0, 3078)	0.0661359167154
  (0, 264)	0.235558247939
  (0, 1801)	0.335073367801
  (0, 686)	0.360299431483
  (0, 3822)	0.432452798057
  (0, 2577)	0.513862923092
  (0, 637)	0.496968795737",positive,positive,positive
732,Ah curious about toningt Group  Ill be watchingautonoms SelfDrivingCars selfdriving ,positive,"  (0, 3078)	0.0563710619559
  (0, 779)	0.372957181254
  (0, 3071)	0.139403161233
  (0, 68)	0.412422899904
  (0, 3535)	0.423592204749
  (0, 1516)	0.383001621964
  (0, 1703)	0.403296913356
  (0, 3812)	0.423592204749",positive,positive,positive
734,How SelfDrivingCars Will Change Local Real Estate  ,positive,"  (0, 3078)	0.0824272303594
  (0, 2763)	0.431656910352
  (0, 1171)	0.578428811153
  (0, 546)	0.39832030734
  (0, 2050)	0.560034915545",positive,positive,positive
736,RT zzi By  global markets for fully autonomousvehicles  selfdrivingcars projected to be worth  billion autonomous ,positive,"  (0, 3078)	0.0731471283573
  (0, 2959)	0.199778790277
  (0, 252)	0.249898892852
  (0, 264)	0.260530287525
  (0, 363)	0.41459265033
  (0, 1386)	0.380607392837
  (0, 3899)	0.451962871036
  (0, 1454)	0.441950698783
  (0, 3954)	0.328743874563",positive,positive,positive
738,RT zzi  companies leading in selfdrivingcars by number of patents AI MachineLearning IoT AutonomousVehicles httpst,positive,"  (0, 3078)	0.0614639104392
  (0, 2959)	0.16786968879
  (0, 70)	0.185390463937
  (0, 264)	0.218917825193
  (0, 2093)	0.288986073909
  (0, 648)	0.271449525584
  (0, 1978)	0.401903252711
  (0, 2343)	0.389724856051
  (0, 2476)	0.366396452735
  (0, 1838)	0.223048124543
  (0, 1649)	0.393490246315
  (0, 3954)	0.276236190229",positive,positive,neutral
740,RT zzi  phases of autonomousvehicles and selfdrivingcars  AI is driving the new automotive industry paradigm httpstc,positive,"  (0, 3078)	0.0591756470019
  (0, 2959)	0.161620003921
  (0, 70)	0.178488491426
  (0, 2309)	0.22634540287
  (0, 1650)	0.423361827039
  (0, 264)	0.210767649723
  (0, 1024)	0.22276142343
  (0, 239)	0.265952087417
  (0, 1749)	0.271488220096
  (0, 3954)	0.265952087417
  (0, 2511)	0.459783011326
  (0, 2456)	0.432941851607",positive,positive,positive
742,RT zzi  phases of autonomousvehicles and selfdrivingcars  AI is driving the new automotive industry paradigm httpstc,positive,"  (0, 3078)	0.0591756470019
  (0, 2959)	0.161620003921
  (0, 70)	0.178488491426
  (0, 2309)	0.22634540287
  (0, 1650)	0.423361827039
  (0, 264)	0.210767649723
  (0, 1024)	0.22276142343
  (0, 239)	0.265952087417
  (0, 1749)	0.271488220096
  (0, 3954)	0.265952087417
  (0, 2511)	0.459783011326
  (0, 2456)	0.432941851607",positive,positive,positive
744,RT ler Watch out disruption in a brand new industry SelfDrivingCars  with  on AutonomousDriving tech in,negative,"  (0, 3078)	0.0629385269352
  (0, 2959)	0.171897148327
  (0, 2309)	0.240738326608
  (0, 256)	0.321600679838
  (0, 3427)	0.20764636397
  (0, 3809)	0.336449737384
  (0, 1749)	0.288751699707
  (0, 1995)	0.472942471955
  (0, 954)	0.372808401691
  (0, 413)	0.450282694054",negative,positive,negative
746,RT ler Watch out disruption in a brand new industry SelfDrivingCars  with  on AutonomousDriving tech in,negative,"  (0, 3078)	0.0629385269352
  (0, 2959)	0.171897148327
  (0, 2309)	0.240738326608
  (0, 256)	0.321600679838
  (0, 3427)	0.20764636397
  (0, 3809)	0.336449737384
  (0, 1749)	0.288751699707
  (0, 1995)	0.472942471955
  (0, 954)	0.372808401691
  (0, 413)	0.450282694054",negative,positive,negative
748,Watch out disruption in a brand new industry SelfDrivingCars  with  on AutonomousDriving ,negative,"  (0, 3078)	0.0750300457391
  (0, 2309)	0.286988090382
  (0, 256)	0.383385422141
  (0, 3809)	0.401087226125
  (0, 1749)	0.344225616507
  (0, 954)	0.444430983579
  (0, 413)	0.536789352652",negative,positive,negative
750,robotics  ai opportunities roboadvisorsselfdrivingcars dataanalytics ArtificialIntelligence  ,positive,"  (0, 70)	0.212100163872
  (0, 179)	0.362516764814
  (0, 2936)	0.336835648173
  (0, 2412)	0.450181438426
  (0, 2926)	0.52840332654
  (0, 812)	0.477769252708",positive,positive,positive
752,Fun Why these German researchers became selfdriving cars ,neutral,"  (0, 2853)	0.528556379627
  (0, 509)	0.220997378803
  (0, 3071)	0.227110363597
  (0, 1387)	0.558856143574
  (0, 1442)	0.554877469046",neutral,neutral,neutral
754,Why These German Researchers Became SelfDrivingCars  via ,neutral,"  (0, 2853)	0.684824584244
  (0, 3078)	0.118989480959
  (0, 1442)	0.718927529196",neutral,neutral,neutral
756,RT  The SelfDrivingCars Ecosystem  Companies Shaping The Future of AutonomousVehiclesy IoT AI Cybersecur,positive,"  (0, 3078)	0.0775159755476
  (0, 2959)	0.211710947099
  (0, 70)	0.233807490714
  (0, 1396)	0.256340012377
  (0, 648)	0.342341947287
  (0, 1838)	0.281299918025
  (0, 1064)	0.370513260628
  (0, 3130)	0.371308990266
  (0, 265)	0.415889036422
  (0, 791)	0.429362105723",positive,neutral,neutral
758,People who will use selfdrivingcars in the future will be ridiculed the same way as gearless\tomatic car drivers are ridiculed today,negative,"  (0, 3078)	0.0867882765223
  (0, 1396)	0.287002875481
  (0, 3531)	0.42941687305
  (0, 492)	0.265510676615
  (0, 1020)	0.37032802376
  (0, 2493)	0.394682847551
  (0, 3686)	0.446079702837
  (0, 3814)	0.404101321022",negative,positive,positive
760,RT   Autonomous limit handling We did this with our software in your car  selfdrivingcars autonom,positive,"  (0, 3078)	0.0701084855759
  (0, 2959)	0.191479675977
  (0, 252)	0.239517713387
  (0, 492)	0.214482326272
  (0, 912)	0.440519924993
  (0, 2023)	0.483670007884
  (0, 1555)	0.526820090775
  (0, 3223)	0.386671749345",positive,positive,positive
762, Autonomous limit handling We did this with our software in your car  selfdrivingcars autonomousvehicles,positive,"  (0, 3078)	0.0692249518967
  (0, 252)	0.236499220478
  (0, 264)	0.246560555781
  (0, 492)	0.211779338791
  (0, 912)	0.434968326112
  (0, 2023)	0.477574615321
  (0, 1555)	0.520180904531
  (0, 3223)	0.381798765561",positive,positive,positive
764,EN Las Vegas expands its selfdriving shuttle tests this week ,positive,"  (0, 3071)	0.143735244986
  (0, 1123)	0.31540164443
  (0, 3476)	0.311840933844
  (0, 3826)	0.326307271495
  (0, 1950)	0.400982518775
  (0, 3742)	0.415829742532
  (0, 1214)	0.436755729106
  (0, 3154)	0.389466117325",positive,positive,positive
766,Blog Post CVT Will Dominate Autonomous Car Transmissions ,neutral,"  (0, 380)	0.513427533211
  (0, 2582)	0.471502326034
  (0, 252)	0.288248278778
  (0, 492)	0.258119370389
  (0, 976)	0.603626577527",neutral,neutral,neutral
768,Global roadsafety leaders at Innov this week Selfdrivingcars  priorities  safe roads cars  humans can rea ,neutral,"  (0, 3078)	0.0515014394418
  (0, 509)	0.12393270918
  (0, 1661)	0.222493618111
  (0, 2919)	0.207646738802
  (0, 2975)	0.26631499484
  (0, 1766)	0.345097792251
  (0, 2920)	0.333099770742
  (0, 1976)	0.349915970275
  (0, 3826)	0.289134058085
  (0, 1454)	0.311168704238
  (0, 2625)	0.368458049922
  (0, 2755)	0.38700012957",neutral,neutral,neutral
770,Alphabet To Introduce Taxibots As A Part Of Its Fu  autonomouscars driverlesscars selfdrivingcars technology,positive,"  (0, 3078)	0.0739102573362
